"filename", "language", "C++", "comment", "blank", "total"
"/home/tanlam/dev/phd/research/2021/2021-09b/dctc/include/dctc/algorithms/connectivity/Lam/MST_node_Lam.h", "C++", 25, 0, 9, 34
"/home/tanlam/dev/phd/research/2021/2021-09b/dctc/include/dctc/algorithms/connectivity/Lam/long_edge_first_relays_alg.h", "C++", 17, 0, 6, 23
"/home/tanlam/dev/phd/research/2021/2021-09b/dctc/include/dctc/algorithms/connectivity/Lam/long_short_edge_relays_alg.h", "C++", 20, 0, 8, 28
"/home/tanlam/dev/phd/research/2021/2021-09b/dctc/include/dctc/algorithms/connectivity/Lam/short_edge_first_relays_alg.h", "C++", 9, 0, 4, 13
"/home/tanlam/dev/phd/research/2021/2021-09b/dctc/include/dctc/algorithms/connectivity/communication_checker.h", "C++", 3, 0, 1, 4
"/home/tanlam/dev/phd/research/2021/2021-09b/dctc/include/dctc/algorithms/connectivity/relays/relays_utils.h", "C++", 7, 1, 3, 11
"/home/tanlam/dev/phd/research/2021/2021-09b/dctc/include/dctc/algorithms/connectivity/relays/simple_relays_alg.h", "C++", 6, 0, 1, 7
"/home/tanlam/dev/phd/research/2021/2021-09b/dctc/include/dctc/network_components/nodes/node.h", "C++", 1, 0, 0, 1
"/home/tanlam/dev/phd/research/2021/2021-09b/dctc/include/dctc/utils.h", "C++", 0, 0, 1, 1
"/home/tanlam/dev/phd/research/2021/2021-09b/dctc/include/dctc/utils.tpp", "C++", 2, 0, 0, 2
"/home/tanlam/dev/phd/research/2021/2021-09b/dctc/include/geometric_primitives/geom_common.h", "C++", 2, 0, 0, 2
"/home/tanlam/dev/phd/research/2021/2021-09b/dctc/include/geometric_primitives/geom_utils_1.h", "C++", 1, 0, 1, 2
"/home/tanlam/dev/phd/research/2021/2021-09b/dctc/include/logger/logger.h", "C++", 15, 0, 5, 20
"/home/tanlam/dev/phd/research/2021/2021-09b/dctc/include/utils.h", "C++", 6, 0, 3, 9
"/home/tanlam/dev/phd/research/2021/2021-09b/dctc/src/dctc/algorithms/connectivity/Lam/MST_node_Lam.cpp", "C++", 22, 1, 5, 28
"/home/tanlam/dev/phd/research/2021/2021-09b/dctc/src/dctc/algorithms/connectivity/Lam/long_edge_first_relays_alg.cpp", "C++", 66, 4, 13, 83
"/home/tanlam/dev/phd/research/2021/2021-09b/dctc/src/dctc/algorithms/connectivity/Lam/long_short_edge_relays_alg.cpp", "C++", 91, 0, 12, 103
"/home/tanlam/dev/phd/research/2021/2021-09b/dctc/src/dctc/algorithms/connectivity/Lam/short_edge_first_relays_alg.cpp", "C++", 1, 0, 0, 1
"/home/tanlam/dev/phd/research/2021/2021-09b/dctc/src/dctc/algorithms/connectivity/communication_checker.cpp", "C++", 26, 0, 5, 31
"/home/tanlam/dev/phd/research/2021/2021-09b/dctc/src/dctc/algorithms/connectivity/relays/relays_MST_graph.cpp", "C++", 1, 0, 0, 1
"/home/tanlam/dev/phd/research/2021/2021-09b/dctc/src/dctc/algorithms/connectivity/relays/relays_utils.cpp", "C++", 161, 13, 13, 187
"/home/tanlam/dev/phd/research/2021/2021-09b/dctc/src/dctc/algorithms/connectivity/relays/simple_relays_alg.cpp", "C++", 21, -1, 2, 22
"/home/tanlam/dev/phd/research/2021/2021-09b/dctc/src/dctc/algorithms/connectivity/utils.cpp", "C++", 2, 0, 0, 2
"/home/tanlam/dev/phd/research/2021/2021-09b/dctc/src/dctc/network_components/nodes/node.cpp", "C++", 6, 0, 1, 7
"/home/tanlam/dev/phd/research/2021/2021-09b/dctc/src/dctc/network_components/nodes/node_factory.cpp", "C++", 3, 0, 1, 4
"/home/tanlam/dev/phd/research/2021/2021-09b/dctc/src/geometric_primitives/geom2D_utils.cpp", "C++", 26, 0, 1, 27
"/home/tanlam/dev/phd/research/2021/2021-09b/dctc/src/logger/logger.cpp", "C++", 33, 0, 7, 40
"/home/tanlam/dev/phd/research/2021/2021-09b/dctc/src/main.cpp", "C++", 1, 0, 0, 1
"/home/tanlam/dev/phd/research/2021/2021-09b/dctc/src/utils.cpp", "C++", -3, 0, -1, -4
"/home/tanlam/dev/phd/research/2021/2021-09b/dctc/test/src/dctc/algorithms/connectivity/relays/test_relays_MST_graph_Aschner_and_Tran.cpp", "C++", 25, 0, 6, 31
"/home/tanlam/dev/phd/research/2021/2021-09b/dctc/test/src/dctc/algorithms/connectivity/relays/test_relays_MST_graph_Aschner_and_Tran_1.cpp", "C++", 82, 0, 15, 97
"/home/tanlam/dev/phd/research/2021/2021-09b/dctc/test/src/dctc/algorithms/connectivity/relays/test_relays_utils.cpp", "C++", 75, 24, 10, 109
"Total", "-", 753, 42, 132, 927